month,day_of_week,state,vehicle_1,vehicle_2,vehicles_involved,party_age_group,victim_age_group,road_condition,lighting_condition,weather_group,Actual_Severity,Predicted_Severity,Risk_Score
March,Friday,Unknown,Truck,Unidentified,1,Unknown,Over 51,Dry,Daylight,Clear,Minor,Minor,13.0
May,Tuesday,Unknown,Truck,Unidentified,3,Under 18,18-30,Dry,Daylight,Clear,Severe,Minor,9.0
October,Wednesday,Jammu and Kashmir,Truck,Unidentified,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,0.0
August,Wednesday,Uttar Pradesh,Truck,Unidentified,2,Unknown,Under 18,Wet,Dark,Clear,Severe,Severe,6.0
May,Friday,Unknown,Truck,Unidentified,2,Unknown,Unknown,Dry,Dark,Clear,Minor,Minor,0.0
January,Sunday,Punjab,Truck,Unidentified,3,31-50,Unknown,Damaged/Construction,Dark,Rainy,Minor,Severe,19.0
May,Friday,Unknown,Truck,Unidentified,3,Unknown,18-30,Dry,Dark,Clear,Minor,Minor,16.0
October,Monday,Unknown,Truck,Unidentified,2,31-50,18-30,Dry,Daylight,Clear,Minor,Minor,23.8002767181351
March,Wednesday,Maharashtra,Car,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,0.0
October,Saturday,Unknown,Truck,Unidentified,3,18-30,18-30,Dry,Daylight,Clear,Minor,Minor,5.0
April,Friday,Unknown,Truck,Unidentified,3,18-30,18-30,Wet,Daylight,Clear,Minor,Minor,15.533503643294239
October,Sunday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Dark,Clear,Severe,Minor,4.0
March,Thursday,Unknown,Truck,Unidentified,2,31-50,Unknown,Wet,Dark,Clear,Minor,Minor,13.0
March,Sunday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Dark,Clear,Minor,Minor,18.935071016076165
April,Friday,Unknown,Truck,Unidentified,2,Unknown,Unknown,Wet,Daylight,Clear,Minor,Minor,0.0
March,Saturday,Haryana,Pedestrian,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,0.0
October,Saturday,Unknown,Truck,Unidentified,3,31-50,Unknown,Dry,Dark,Clear,Minor,Minor,34.935071016076165
March,Tuesday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,0.0
May,Wednesday,Rajasthan,Car,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,0.0
May,Sunday,Unknown,Truck,Unidentified,4,Unknown,31-50,Dry,Daylight,Clear,Minor,Minor,1.0
January,Monday,Uttar Pradesh,Pedestrian,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,1.0
April,Thursday,Unknown,Truck,Unidentified,2,18-30,31-50,Dry,Dark,Clear,Minor,Minor,3.0
September,Thursday,Delhi,Truck,Unidentified,1,Over 51,Unknown,Damaged/Construction,Twilight,Rainy,Severe,Severe,6.0
July,Sunday,Unknown,Truck,Unidentified,4,Unknown,Unknown,Wet,Daylight,Rainy,Minor,Minor,8.0
August,Wednesday,Unknown,Truck,Unidentified,2,18-30,Unknown,Wet,Daylight,Rainy,Minor,Minor,4.0
May,Thursday,Unknown,Truck,Unidentified,3,18-30,18-30,Dry,Daylight,Clear,Minor,Minor,13.0
May,Tuesday,Delhi,Car,Truck,2,Unknown,31-50,Dry,Daylight,Clear,Severe,Severe,0.0
April,Monday,Andhra Pradesh,Van,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,0.0
April,Wednesday,Unknown,Truck,Unidentified,1,Over 51,31-50,Dry,Daylight,Clear,Severe,Minor,50.921093233923806
July,Monday,Delhi,Pedestrian,Truck,2,Unknown,Under 18,Wet,Dark,Clear,Severe,Severe,0.0
July,Saturday,Unknown,Truck,Unidentified,2,18-30,Unknown,Wet,Daylight,Rainy,Minor,Minor,4.0
November,Saturday,Uttar Pradesh,Two Wheeler,Truck,2,Unknown,31-50,Dry,Dark,Clear,Severe,Severe,1.0
August,Thursday,Unknown,Truck,Unidentified,1,31-50,31-50,Wet,Dark,Rainy,Minor,Severe,54.0
October,Tuesday,Tamil Nadu,Car,Truck,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,0.0
November,Monday,Assam,Two Wheeler,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,0.0
May,Monday,Unknown,Truck,Unidentified,1,31-50,Unknown,Dry,Daylight,Clear,Severe,Minor,7.827600497306259
May,Wednesday,Unknown,Truck,Unidentified,2,Unknown,Unknown,Dry,Daylight,Clear,Minor,Minor,17.48280149191877
March,Saturday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,9.905668934240364
May,Saturday,Unknown,Truck,Unidentified,1,31-50,18-30,Dry,Dark,Clear,Minor,Minor,14.000000000000002
April,Friday,Unknown,Truck,Unidentified,2,Unknown,Unknown,Dry,Daylight,Clear,Minor,Minor,0.0
April,Thursday,Unknown,Truck,Unidentified,2,Over 51,31-50,Dry,Daylight,Clear,Severe,Minor,7.705903145987982
December,Saturday,Chhattisgarh,Bus,Truck,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,0.0
August,Thursday,Maharashtra,Two Wheeler,Truck,2,Unknown,31-50,Dry,Daylight,Clear,Severe,Severe,0.0
April,Thursday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Daylight,Clear,Minor,Severe,68.45658767768455
April,Saturday,Unknown,Truck,Unidentified,1,18-30,Under 18,Dry,Daylight,Clear,Minor,Minor,3.0
May,Friday,Unknown,Truck,Unidentified,3,Over 51,18-30,Wet,Dark,Clear,Minor,Minor,8.0
March,Wednesday,Unknown,Truck,Unidentified,3,Unknown,Unknown,Dry,Daylight,Clear,Minor,Minor,1.0
August,Tuesday,West Bengal,Bicycle,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,0.0
May,Tuesday,Unknown,Truck,Unidentified,2,31-50,31-50,Dry,Daylight,Clear,Minor,Minor,4.854815109775287
June,Monday,Unknown,Truck,Unidentified,3,18-30,18-30,Wet,Daylight,Rainy,Minor,Minor,13.0
May,Friday,Unknown,Truck,Unidentified,2,31-50,Over 51,Dry,Dark,Clear,Minor,Minor,6.905668934240363
August,Saturday,Rajasthan,Truck,Unidentified,2,Unknown,Unknown,Wet,Dark,Clear,Severe,Severe,4.0
March,Saturday,Unknown,Truck,Unidentified,2,Unknown,31-50,Dry,Daylight,Clear,Minor,Minor,8.401609879169408
April,Monday,Unknown,Truck,Unidentified,2,31-50,Unknown,Wet,Dark,Clear,Minor,Minor,9.361104140600498
February,Thursday,Bihar,Truck,Unidentified,1,18-30,Unknown,Damaged/Construction,Twilight,Fog/Mist,Minor,Severe,31.0
December,Saturday,West Bengal,Pedestrian,Truck,2,Unknown,18-30,Dry,Daylight,Clear,Severe,Severe,0.0
April,Monday,Rajasthan,Bicycle,Truck,2,Unknown,Over 51,Dry,Dark,Clear,Severe,Severe,1.0
May,Tuesday,Unknown,Truck,Unidentified,1,Over 51,18-30,Wet,Daylight,Clear,Severe,Minor,7.870142032152333
October,Sunday,Unknown,Truck,Unidentified,2,Under 18,Unknown,Dry,Daylight,Clear,Minor,Minor,4.0
April,Thursday,Unknown,Truck,Unidentified,3,31-50,Under 18,Dry,Daylight,Clear,Minor,Minor,6.0
May,Monday,Unknown,Truck,Unidentified,1,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,8.0
October,Tuesday,West Bengal,Truck,Unidentified,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,4.0
January,Thursday,Maharashtra,Car,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,0.0
October,Friday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Daylight,Clear,Severe,Minor,4.0
May,Wednesday,Unknown,Truck,Unidentified,3,31-50,Unknown,Wet,Dark,Clear,Severe,Minor,6.0
May,Thursday,Unknown,Truck,Unidentified,1,Under 18,Unknown,Wet,Dark,Clear,Severe,Minor,34.0
March,Saturday,Unknown,Truck,Unidentified,2,31-50,18-30,Dry,Dark,Clear,Minor,Minor,9.73326943154662
March,Tuesday,Maharashtra,Pedestrian,Truck,2,Unknown,Under 18,Wet,Dark,Clear,Severe,Severe,0.0
May,Thursday,Unknown,Truck,Unidentified,2,Over 51,18-30,Dry,Daylight,Clear,Severe,Minor,1.0
March,Tuesday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,0.0
January,Saturday,Unknown,Bus,Unidentified,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,0.0
March,Thursday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,0.0
March,Wednesday,Unknown,Truck,Unidentified,2,18-30,31-50,Dry,Dark,Clear,Minor,Minor,6.56207184224643
October,Monday,Unknown,Truck,Unidentified,2,31-50,18-30,Dry,Daylight,Clear,Minor,Minor,10.439172577534602
March,Sunday,Unknown,Truck,Unidentified,2,Unknown,18-30,Dry,Daylight,Clear,Minor,Minor,2.0
March,Friday,Unknown,Truck,Unidentified,2,Unknown,Under 18,Dry,Daylight,Clear,Minor,Minor,7.905274117085767
April,Friday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Dark,Clear,Minor,Minor,5.0
April,Friday,Unknown,Truck,Unidentified,2,Unknown,18-30,Dry,Daylight,Clear,Minor,Minor,18.0
March,Friday,Jharkhand,Truck,Unidentified,3,18-30,Unknown,Wet,Daylight,Clear,Minor,Severe,40.0
March,Friday,Unknown,Truck,Unidentified,2,18-30,31-50,Dry,Dark,Clear,Severe,Minor,16.705903145987982
September,Saturday,Unknown,Truck,Unidentified,2,18-30,Unknown,Wet,Dark,Rainy,Minor,Severe,70.0
June,Sunday,Odisha,Truck,Unidentified,1,18-30,Unknown,Damaged/Construction,Twilight,Fog/Mist,Severe,Severe,51.0
August,Wednesday,Rajasthan,Truck,Van,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,3.0
April,Saturday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Dark,Clear,Minor,Minor,1.0
March,Saturday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Daylight,Clear,Minor,Minor,2.0
May,Monday,Uttar Pradesh,Car,Truck,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,0.0
May,Wednesday,Unknown,Truck,Unidentified,2,18-30,Under 18,Dry,Dark,Clear,Minor,Minor,7.827600497306259
May,Sunday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,3.827600497306258
October,Monday,Unknown,Truck,Unidentified,2,18-30,Unknown,Wet,Dark,Clear,Minor,Minor,11.0
June,Friday,Assam,Truck,Unidentified,3,Over 51,Unknown,Damaged/Construction,Dark,Clear,Minor,Severe,42.0
September,Friday,Meghalaya,Truck,Unidentified,2,31-50,Unknown,Dry,Dark,Rainy,Severe,Severe,35.0
August,Saturday,Unknown,Truck,Unidentified,2,18-30,31-50,Wet,Dark,Rainy,Minor,Minor,16.0
March,Friday,Unknown,Truck,Unidentified,1,Unknown,31-50,Dry,Daylight,Clear,Severe,Minor,15.0
May,Monday,Unknown,Truck,Unidentified,2,31-50,18-30,Dry,Daylight,Clear,Minor,Minor,5.026971468404044
October,Tuesday,Unknown,Truck,Unidentified,3,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,12.361104140600496
August,Tuesday,Madhya Pradesh,Auto Rickshaw,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,0.0
February,Wednesday,Tamil Nadu,Truck,Car,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,0.0
June,Thursday,Madhya Pradesh,Two Wheeler,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,0.0
January,Monday,Rajasthan,Two Wheeler,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,3.0
April,Wednesday,Unknown,Truck,Unidentified,1,31-50,Over 51,Dry,Daylight,Clear,Minor,Minor,41.70590314598798
October,Thursday,Maharashtra,Truck,Canal,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,0.0
July,Wednesday,Unknown,Truck,Unidentified,2,31-50,Unknown,Wet,Daylight,Rainy,Minor,Minor,0.0
October,Tuesday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Dark,Clear,Minor,Minor,24.0
November,Saturday,Rajasthan,Suv,Truck,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,0.0
April,Tuesday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,8.0
January,Saturday,Uttar Pradesh,Two Wheeler,Truck,2,Unknown,18-30,Dry,Daylight,Clear,Severe,Severe,0.0
October,Wednesday,Unknown,Truck,Unidentified,6,Over 51,Unknown,Dry,Dark,Clear,Minor,Minor,24.0
April,Wednesday,Unknown,Truck,Unidentified,2,Unknown,Unknown,Dry,Dark,Clear,Minor,Minor,19.950499762018087
July,Wednesday,Unknown,Truck,Unidentified,3,31-50,Over 51,Wet,Daylight,Rainy,Minor,Minor,30.0
June,Tuesday,Haryana,Truck,Unidentified,5,18-30,Unknown,Damaged/Construction,Twilight,Fog/Mist,Severe,Minor,22.0
February,Monday,Jammu and Kashmir,Truck,Unidentified,2,18-30,Unknown,Damaged/Construction,Twilight,Clear,Severe,Severe,37.0
August,Saturday,Unknown,Truck,Unidentified,2,Over 51,18-30,Wet,Daylight,Rainy,Minor,Minor,4.0
September,Monday,Unknown,Truck,Unidentified,2,31-50,18-30,Wet,Daylight,Rainy,Minor,Minor,0.0
June,Friday,Unknown,Truck,Unidentified,1,Under 18,31-50,Wet,Daylight,Rainy,Minor,Minor,13.0
August,Monday,Unknown,Truck,Unidentified,2,31-50,Under 18,Wet,Daylight,Rainy,Minor,Minor,3.0
July,Tuesday,Unknown,Truck,Unidentified,2,Over 51,18-30,Wet,Daylight,Rainy,Severe,Minor,0.0
May,Wednesday,Unknown,Bus,Unidentified,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,0.0
October,Tuesday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,26.53487586914326
December,Monday,Maharashtra,Pedestrian,Truck,2,Unknown,Under 18,Dry,Daylight,Clear,Severe,Severe,0.0
March,Friday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Dark,Clear,Minor,Minor,2.0
October,Thursday,Unknown,Truck,Unidentified,3,Under 18,Unknown,Dry,Daylight,Clear,Minor,Minor,21.232630676716777
August,Sunday,Unknown,Truck,Unidentified,2,Unknown,Over 51,Dry,Dark,Rainy,Minor,Minor,4.0
May,Saturday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Dark,Clear,Severe,Minor,0.0
April,Monday,Unknown,Truck,Car,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,0.0
December,Wednesday,Maharashtra,Truck,Unidentified,3,31-50,Unknown,Wet,Twilight,Rainy,Severe,Severe,47.0
September,Friday,Maharashtra,Bus,Truck,2,Unknown,31-50,Wet,Daylight,Clear,Severe,Severe,0.0
March,Wednesday,Unknown,Truck,Unidentified,2,31-50,31-50,Wet,Dark,Clear,Severe,Minor,11.905668934240364
December,Sunday,Madhya Pradesh,Pedestrian,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,0.0
February,Monday,Unknown,Bus,Unidentified,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,0.0
May,Sunday,Unknown,Truck,Unidentified,2,18-30,Unknown,Wet,Daylight,Clear,Minor,Minor,5.7837284388571
September,Wednesday,Haryana,Truck,Unidentified,2,Over 51,Unknown,Dry,Twilight,Rainy,Severe,Minor,39.0
March,Wednesday,Unknown,Truck,Unidentified,2,31-50,31-50,Dry,Daylight,Clear,Minor,Minor,9.470874790850532
October,Tuesday,Uttar Pradesh,Pedestrian,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,0.0
May,Monday,Unknown,Truck,Unidentified,2,Over 51,Under 18,Dry,Daylight,Clear,Minor,Minor,34.56086992885288
May,Saturday,Unknown,Truck,Unidentified,1,Under 18,18-30,Wet,Dark,Clear,Minor,Minor,32.0
November,Saturday,Maharashtra,Two Wheeler,Truck,2,Unknown,Over 51,Dry,Daylight,Clear,Severe,Severe,0.0
July,Wednesday,Maharashtra,Bus,Unidentified,2,Unknown,Under 18,Dry,Daylight,Clear,Severe,Severe,1.0
June,Monday,Unknown,Truck,Unidentified,2,18-30,31-50,Wet,Dark,Rainy,Minor,Minor,4.0
April,Saturday,Gujarat,Two Wheeler,Truck,2,Unknown,Under 18,Wet,Daylight,Clear,Severe,Severe,0.0
October,Thursday,Rajasthan,Truck,Car,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,0.0
April,Wednesday,Unknown,Truck,Unidentified,2,31-50,18-30,Dry,Daylight,Clear,Minor,Minor,3.7529970748839423
January,Monday,Maharashtra,Car,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,2.0
September,Thursday,Bihar,Pedestrian,Truck,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,0.0
April,Tuesday,Unknown,Truck,Unidentified,1,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,8.443008817799324
April,Tuesday,Unknown,Truck,Unidentified,1,Over 51,Unknown,Dry,Dark,Clear,Minor,Minor,35.70590314598798
April,Tuesday,Unknown,Truck,Unidentified,2,18-30,Unknown,Wet,Dark,Clear,Minor,Minor,22.019627857658687
August,Tuesday,Unknown,Truck,Unidentified,2,18-30,Unknown,Wet,Dark,Rainy,Minor,Minor,8.0
October,Friday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,4.0
October,Thursday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Daylight,Clear,Minor,Minor,19.63634174270846
May,Sunday,Unknown,Truck,Unidentified,4,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,20.0
October,Saturday,Maharashtra,Bus,Truck,2,Unknown,Unknown,Wet,Dark,Clear,Severe,Severe,0.0
April,Monday,Unknown,Truck,Unidentified,2,31-50,31-50,Dry,Daylight,Clear,Minor,Minor,0.0
September,Monday,Unknown,Truck,Unidentified,2,31-50,Under 18,Wet,Dark,Rainy,Minor,Minor,4.0
April,Sunday,Unknown,Truck,Unidentified,2,18-30,31-50,Dry,Dark,Clear,Minor,Minor,11.0
August,Thursday,Unknown,Truck,Unidentified,2,Under 18,31-50,Wet,Daylight,Rainy,Severe,Minor,11.0
April,Saturday,Unknown,Truck,Unidentified,2,31-50,Under 18,Wet,Dark,Clear,Minor,Minor,14.533260499229254
August,Friday,Telangana,Suv,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,0.0
March,Thursday,Unknown,Truck,Unidentified,2,18-30,Over 51,Dry,Daylight,Clear,Minor,Minor,4.705903145987982
May,Tuesday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,0.0
April,Monday,Unknown,Truck,Unidentified,4,18-30,31-50,Dry,Daylight,Clear,Minor,Minor,6.878059504616737
October,Monday,Punjab,Two Wheeler,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,0.0
September,Friday,Karnataka,Two Wheeler,Truck,2,Unknown,18-30,Wet,Daylight,Clear,Severe,Severe,0.0
October,Friday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Dark,Clear,Severe,Minor,21.156180093199833
April,Tuesday,Unknown,Truck,Unidentified,2,Over 51,18-30,Dry,Daylight,Clear,Minor,Minor,5.533503643294239
April,Wednesday,Unknown,Truck,Unidentified,1,Unknown,18-30,Dry,Daylight,Clear,Minor,Minor,14.000000000000002
April,Monday,Uttar Pradesh,Two Wheeler,Truck,2,Unknown,18-30,Dry,Daylight,Clear,Severe,Severe,0.0
October,Friday,Unknown,Truck,Unidentified,3,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,7.827600497306259
May,Monday,Unknown,Truck,Unidentified,2,18-30,31-50,Dry,Dark,Clear,Severe,Minor,3.0
April,Saturday,Unknown,Truck,Unidentified,2,Over 51,31-50,Dry,Daylight,Clear,Severe,Minor,11.0
October,Monday,Unknown,Truck,Unidentified,2,Under 18,Over 51,Dry,Daylight,Clear,Minor,Minor,1.8276004973062576
May,Friday,Unknown,Truck,Unidentified,3,18-30,31-50,Dry,Daylight,Clear,Minor,Minor,13.216070923465391
July,Monday,Chhattisgarh,Truck,Unidentified,2,Over 51,Unknown,Wet,Daylight,Fog/Mist,Severe,Severe,38.0
April,Tuesday,Unknown,Truck,Unidentified,3,18-30,Unknown,Dry,Dark,Clear,Minor,Minor,20.0
April,Monday,Unknown,Truck,Unidentified,2,Under 18,Unknown,Dry,Daylight,Clear,Severe,Minor,5.0
June,Wednesday,Uttarakhand,Two Wheeler,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,0.0
April,Friday,Unknown,Truck,Unidentified,2,Over 51,18-30,Wet,Dark,Clear,Minor,Minor,9.0
April,Wednesday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,2.270609315105582
February,Tuesday,Unknown,Truck,Car,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,0.0
May,Thursday,Unknown,Truck,Unidentified,2,18-30,Under 18,Dry,Dark,Clear,Minor,Minor,10.0
January,Monday,Kerala,Truck,Two_Wheeler,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,1.0
April,Wednesday,Unknown,Truck,Unidentified,3,18-30,Unknown,Dry,Dark,Clear,Severe,Minor,25.0
May,Sunday,Unknown,Truck,Unidentified,2,Over 51,Unknown,Dry,Daylight,Clear,Minor,Minor,4.25434668628005
March,Wednesday,Uttar Pradesh,Car,Truck,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,0.0
July,Thursday,Jharkhand,Truck,Unidentified,4,Over 51,Unknown,Damaged/Construction,Twilight,Fog/Mist,Severe,Severe,43.0
September,Sunday,Nagaland,Truck,Unidentified,2,Over 51,Unknown,Dry,Dark,Rainy,Severe,Severe,25.0
October,Tuesday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,13.827600497306259
September,Saturday,Maharashtra,Truck,Truck,2,Unknown,31-50,Wet,Dark,Clear,Severe,Severe,0.0
October,Wednesday,Kerala,Truck,Unidentified,2,Over 51,Unknown,Dry,Twilight,Fog/Mist,Severe,Severe,37.0
March,Thursday,Maharashtra,Truck,Unidentified,1,18-30,Unknown,Dry,Dark,Fog/Mist,Severe,Severe,25.0
February,Friday,West Bengal,Two Wheeler,Truck,2,Unknown,Under 18,Dry,Daylight,Clear,Severe,Severe,0.0
January,Tuesday,Nagaland,Truck,Unidentified,4,31-50,Unknown,Dry,Daylight,Fog/Mist,Severe,Severe,30.0
April,Monday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Daylight,Clear,Severe,Minor,37.40325865006736
October,Saturday,Unknown,Truck,Unidentified,2,Unknown,18-30,Dry,Dark,Clear,Severe,Minor,4.0
October,Thursday,Unknown,Truck,Unidentified,6,18-30,31-50,Dry,Daylight,Clear,Minor,Minor,24.905668934240364
April,Wednesday,Unknown,Truck,Unidentified,2,31-50,Under 18,Wet,Dark,Clear,Minor,Minor,12.0
January,Tuesday,Tamil Nadu,Car,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,0.0
April,Sunday,Maharashtra,Pedestrian,Truck,2,Unknown,18-30,Dry,Daylight,Clear,Severe,Severe,0.0
November,Thursday,Rajasthan,Two Wheeler,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,0.0
April,Thursday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Dark,Clear,Minor,Minor,7.000000000000001
April,Sunday,Unknown,Truck,Unidentified,1,31-50,Under 18,Dry,Daylight,Clear,Minor,Minor,24.0
April,Wednesday,Tripura,Truck,Unidentified,3,Over 51,Unknown,Wet,Dark,Rainy,Minor,Severe,16.0
September,Friday,Unknown,Truck,Unidentified,2,31-50,Under 18,Wet,Daylight,Rainy,Severe,Minor,4.0
May,Saturday,Telangana,Pedestrian,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,0.0
