,accident_id,source,year,month,day_of_week,state,vehicle_1,vehicle_2,vehicles_involved,party_age_group,victim_age_group,cause_of_accident,road_condition,lighting_condition,fatalities,injuries,casualties,severity,weather_group
12,KAG_000013,Kaggle_Accident_prediction,2023,May,Friday,Punjab,Truck,Unidentified,3,31-50,Unknown,Unknown/Other,Dry,Twilight,0,0,0,Minor,Clear
13,KAG_000014,Kaggle_Accident_prediction,2018,January,Friday,Tamil Nadu,Truck,Unidentified,1,Over 51,Unknown,Unknown/Other,Damaged/Construction,Daylight,1,8,9,Minor,Fog/Mist
14,KAG_000015,Kaggle_Accident_prediction,2021,September,Thursday,Chandigarh,Truck,Unidentified,3,Over 51,Unknown,Unknown/Other,Wet,Daylight,3,0,0,Minor,Clear
15,KAG_000016,Kaggle_Accident_prediction,2018,July,Friday,Puducherry,Truck,Unidentified,3,Over 51,Unknown,Unknown/Other,Damaged/Construction,Dark,0,0,0,Minor,Clear
16,KAG_000017,Kaggle_Accident_prediction,2022,April,Saturday,Tamil Nadu,Truck,Unidentified,1,31-50,Unknown,Unknown/Other,Damaged/Construction,Twilight,2,1,3,Serious,Fog/Mist
17,KAG_000018,Kaggle_Accident_prediction,2023,September,Wednesday,Haryana,Truck,Unidentified,2,Over 51,Unknown,Unknown/Other,Dry,Twilight,0,9,9,Serious,Rainy
18,KAG_000019,Kaggle_Accident_prediction,2019,May,Sunday,Assam,Truck,Unidentified,3,31-50,Unknown,Unknown/Other,Damaged/Construction,Dark,0,7,7,Serious,Clear
19,KAG_000020,Kaggle_Accident_prediction,2019,August,Thursday,Chandigarh,Truck,Unidentified,3,31-50,Unknown,Unknown/Other,Dry,Twilight,0,2,2,Serious,Clear
20,KAG_000021,Kaggle_Accident_prediction,2020,December,Monday,Odisha,Truck,Unidentified,5,Over 51,Unknown,Unknown/Other,Dry,Daylight,0,9,9,Fatal,Clear
21,KAG_000022,Kaggle_Accident_prediction,2019,May,Sunday,Bihar,Truck,Unidentified,3,18-30,Unknown,Unknown/Other,Damaged/Construction,Daylight,4,3,7,Minor,Rainy
22,KAG_000023,Kaggle_Accident_prediction,2019,August,Friday,Manipur,Truck,Unidentified,5,Over 51,Unknown,Unknown/Other,Wet,Daylight,4,0,1,Minor,Fog/Mist
23,KAG_000024,Kaggle_Accident_prediction,2021,September,Thursday,Delhi,Truck,Unidentified,1,Over 51,Unknown,Unknown/Other,Damaged/Construction,Twilight,0,10,10,Serious,Rainy
24,KAG_000025,Kaggle_Accident_prediction,2019,June,Wednesday,Telangana,Truck,Unidentified,2,18-30,Unknown,Unknown/Other,Damaged/Construction,Twilight,0,8,8,Minor,Fog/Mist
25,KAG_000026,Kaggle_Accident_prediction,2021,November,Saturday,Punjab,Truck,Unidentified,2,31-50,Unknown,Unknown/Other,Damaged/Construction,Twilight,0,1,1,Serious,Fog/Mist
26,KAG_000027,Kaggle_Accident_prediction,2021,January,Wednesday,Manipur,Truck,Unidentified,2,31-50,Unknown,Unknown/Other,Damaged/Construction,Dark,3,0,3,Serious,Fog/Mist
27,KAG_000028,Kaggle_Accident_prediction,2020,January,Monday,Punjab,Truck,Unidentified,5,Over 51,Unknown,Unknown/Other,Wet,Twilight,4,0,2,Serious,Rainy
28,KAG_000029,Kaggle_Accident_prediction,2023,April,Tuesday,Bihar,Truck,Unidentified,5,31-50,Unknown,Unknown/Other,Wet,Dark,4,0,0,Minor,Rainy
29,KAG_000030,Kaggle_Accident_prediction,2018,September,Friday,West Bengal,Truck,Unidentified,4,18-30,Unknown,Unknown/Other,Wet,Twilight,0,5,5,Fatal,Rainy
30,KAG_000031,Kaggle_Accident_prediction,2023,May,Tuesday,Assam,Truck,Unidentified,4,Over 51,Unknown,Unknown/Other,Damaged/Construction,Daylight,0,7,7,Serious,Fog/Mist
31,KAG_000032,Kaggle_Accident_prediction,2023,August,Sunday,Jammu and Kashmir,Truck,Unidentified,2,Over 51,Unknown,Unknown/Other,Damaged/Construction,Dark,4,5,9,Fatal,Rainy
32,KAG_000033,Kaggle_Accident_prediction,2018,September,Thursday,West Bengal,Truck,Unidentified,5,18-30,Unknown,Unknown/Other,Damaged/Construction,Daylight,5,0,3,Serious,Fog/Mist
33,KAG_000034,Kaggle_Accident_prediction,2022,July,Thursday,Jharkhand,Truck,Unidentified,4,Over 51,Unknown,Unknown/Other,Damaged/Construction,Twilight,1,3,4,Serious,Fog/Mist
34,KAG_000035,Kaggle_Accident_prediction,2022,January,Sunday,Goa,Truck,Unidentified,4,31-50,Unknown,Unknown/Other,Damaged/Construction,Daylight,1,9,10,Minor,Fog/Mist
35,KAG_000036,Kaggle_Accident_prediction,2020,February,Saturday,Maharashtra,Truck,Unidentified,4,18-30,Unknown,Unknown/Other,Damaged/Construction,Twilight,0,1,1,Fatal,Fog/Mist
36,KAG_000037,Kaggle_Accident_prediction,2023,January,Saturday,Odisha,Truck,Unidentified,5,31-50,Unknown,Unknown/Other,Dry,Daylight,0,10,10,Serious,Clear
37,KAG_000038,Kaggle_Accident_prediction,2021,May,Friday,Tamil Nadu,Truck,Unidentified,5,18-30,Unknown,Unknown/Other,Damaged/Construction,Daylight,4,1,5,Minor,Rainy
38,KAG_000039,Kaggle_Accident_prediction,2023,February,Thursday,Manipur,Truck,Unidentified,1,Over 51,Unknown,Unknown/Other,Damaged/Construction,Daylight,3,3,6,Fatal,Fog/Mist
39,KAG_000040,Kaggle_Accident_prediction,2018,September,Friday,Assam,Truck,Unidentified,3,31-50,Unknown,Unknown/Other,Wet,Dark,5,4,9,Serious,Fog/Mist
40,KAG_000041,Kaggle_Accident_prediction,2019,January,Thursday,Gujarat,Truck,Unidentified,2,18-30,Unknown,Unknown/Other,Wet,Dark,1,3,4,Fatal,Fog/Mist
41,KAG_000042,Kaggle_Accident_prediction,2019,March,Thursday,Assam,Truck,Unidentified,3,18-30,Unknown,Unknown/Other,Dry,Dark,5,0,3,Fatal,Rainy
42,KAG_000043,Kaggle_Accident_prediction,2023,March,Saturday,Goa,Truck,Unidentified,4,31-50,Unknown,Unknown/Other,Wet,Twilight,2,4,6,Minor,Clear
43,KAG_000044,Kaggle_Accident_prediction,2020,September,Thursday,Karnataka,Truck,Unidentified,5,Over 51,Unknown,Unknown/Other,Dry,Dark,3,0,0,Minor,Fog/Mist
44,KAG_000045,Kaggle_Accident_prediction,2019,May,Wednesday,Andhra Pradesh,Truck,Unidentified,2,Over 51,Unknown,Unknown/Other,Damaged/Construction,Daylight,0,9,9,Fatal,Rainy
45,KAG_000046,Kaggle_Accident_prediction,2021,March,Thursday,Punjab,Truck,Unidentified,5,31-50,Unknown,Unknown/Other,Damaged/Construction,Daylight,3,2,5,Serious,Fog/Mist
46,KAG_000047,Kaggle_Accident_prediction,2021,October,Friday,Manipur,Truck,Unidentified,2,Over 51,Unknown,Unknown/Other,Wet,Twilight,2,7,9,Minor,Clear
47,KAG_000048,Kaggle_Accident_prediction,2020,December,Thursday,Karnataka,Truck,Unidentified,4,Over 51,Unknown,Unknown/Other,Damaged/Construction,Dark,3,3,6,Minor,Rainy
48,KAG_000049,Kaggle_Accident_prediction,2023,February,Wednesday,Jammu and Kashmir,Truck,Unidentified,3,Over 51,Unknown,Unknown/Other,Wet,Twilight,3,0,0,Serious,Rainy
49,KAG_000050,Kaggle_Accident_prediction,2022,October,Wednesday,Jammu and Kashmir,Truck,Unidentified,1,Over 51,Unknown,Unknown/Other,Damaged/Construction,Twilight,5,0,1,Minor,Rainy
50,KAG_000051,Kaggle_Accident_prediction,2021,December,Wednesday,Uttar Pradesh,Truck,Unidentified,1,31-50,Unknown,Unknown/Other,Damaged/Construction,Twilight,4,0,3,Minor,Rainy
51,KAG_000052,Kaggle_Accident_prediction,2019,June,Friday,Assam,Truck,Unidentified,3,Over 51,Unknown,Unknown/Other,Damaged/Construction,Dark,2,6,8,Minor,Clear
52,KAG_000053,Kaggle_Accident_prediction,2022,April,Friday,Uttar Pradesh,Truck,Unidentified,4,18-30,Unknown,Unknown/Other,Damaged/Construction,Twilight,5,3,8,Fatal,Rainy
53,KAG_000054,Kaggle_Accident_prediction,2020,September,Monday,Goa,Truck,Unidentified,2,Over 51,Unknown,Unknown/Other,Damaged/Construction,Dark,1,6,7,Minor,Fog/Mist
54,KAG_000055,Kaggle_Accident_prediction,2023,August,Wednesday,Bihar,Truck,Unidentified,3,31-50,Unknown,Unknown/Other,Dry,Dark,3,2,5,Serious,Clear
55,KAG_000056,Kaggle_Accident_prediction,2022,April,Saturday,Andhra Pradesh,Truck,Unidentified,2,31-50,Unknown,Unknown/Other,Damaged/Construction,Daylight,3,5,8,Serious,Fog/Mist
56,KAG_000057,Kaggle_Accident_prediction,2019,July,Tuesday,Maharashtra,Truck,Unidentified,1,18-30,Unknown,Unknown/Other,Damaged/Construction,Twilight,4,0,2,Serious,Rainy
57,KAG_000058,Kaggle_Accident_prediction,2021,June,Sunday,Uttarakhand,Truck,Unidentified,2,31-50,Unknown,Unknown/Other,Dry,Daylight,4,0,0,Serious,Fog/Mist
58,KAG_000059,Kaggle_Accident_prediction,2020,September,Sunday,Telangana,Truck,Unidentified,1,Over 51,Unknown,Unknown/Other,Damaged/Construction,Daylight,0,5,5,Fatal,Fog/Mist
59,KAG_000060,Kaggle_Accident_prediction,2019,January,Saturday,Chandigarh,Truck,Unidentified,4,31-50,Unknown,Unknown/Other,Damaged/Construction,Twilight,1,4,5,Minor,Fog/Mist
60,KAG_000061,Kaggle_Accident_prediction,2022,September,Tuesday,Andhra Pradesh,Truck,Unidentified,5,Over 51,Unknown,Unknown/Other,Damaged/Construction,Twilight,3,4,7,Minor,Fog/Mist
61,KAG_000062,Kaggle_Accident_prediction,2022,February,Monday,Uttar Pradesh,Truck,Unidentified,2,18-30,Unknown,Unknown/Other,Wet,Dark,1,3,4,Serious,Fog/Mist
62,KAG_000063,Kaggle_Accident_prediction,2018,October,Sunday,Puducherry,Truck,Unidentified,1,31-50,Unknown,Unknown/Other,Damaged/Construction,Dark,2,4,6,Fatal,Rainy
63,KAG_000064,Kaggle_Accident_prediction,2023,June,Thursday,Sikkim,Truck,Unidentified,2,31-50,Unknown,Unknown/Other,Dry,Daylight,5,5,10,Serious,Fog/Mist
64,KAG_000065,Kaggle_Accident_prediction,2022,April,Friday,Goa,Truck,Unidentified,1,18-30,Unknown,Unknown/Other,Wet,Twilight,1,9,10,Serious,Clear
65,KAG_000066,Kaggle_Accident_prediction,2023,March,Saturday,Nagaland,Truck,Unidentified,1,31-50,Unknown,Unknown/Other,Damaged/Construction,Daylight,2,6,8,Serious,Clear
66,KAG_000067,Kaggle_Accident_prediction,2018,March,Wednesday,Madhya Pradesh,Truck,Unidentified,1,18-30,Unknown,Unknown/Other,Dry,Twilight,4,0,1,Serious,Clear
67,KAG_000068,Kaggle_Accident_prediction,2023,November,Sunday,Mizoram,Truck,Unidentified,2,31-50,Unknown,Unknown/Other,Dry,Twilight,3,0,2,Serious,Rainy
68,KAG_000069,Kaggle_Accident_prediction,2023,April,Monday,Kerala,Truck,Unidentified,1,31-50,Unknown,Unknown/Other,Dry,Twilight,3,1,4,Serious,Fog/Mist
69,KAG_000070,Kaggle_Accident_prediction,2022,June,Wednesday,Jharkhand,Truck,Unidentified,5,31-50,Unknown,Unknown/Other,Dry,Daylight,5,4,9,Fatal,Rainy
70,KAG_000071,Kaggle_Accident_prediction,2023,December,Wednesday,Karnataka,Truck,Unidentified,1,Over 51,Unknown,Unknown/Other,Damaged/Construction,Twilight,4,0,0,Minor,Rainy
71,KAG_000072,Kaggle_Accident_prediction,2022,August,Wednesday,Rajasthan,Truck,Unidentified,4,31-50,Unknown,Unknown/Other,Damaged/Construction,Twilight,4,2,6,Serious,Rainy
72,KAG_000073,Kaggle_Accident_prediction,2018,May,Wednesday,Odisha,Truck,Unidentified,2,Over 51,Unknown,Unknown/Other,Dry,Twilight,4,5,9,Minor,Rainy
73,KAG_000074,Kaggle_Accident_prediction,2023,June,Friday,Goa,Truck,Unidentified,2,31-50,Unknown,Unknown/Other,Wet,Dark,5,0,2,Serious,Rainy
74,KAG_000075,Kaggle_Accident_prediction,2020,February,Thursday,Delhi,Truck,Unidentified,5,31-50,Unknown,Unknown/Other,Damaged/Construction,Daylight,0,0,0,Serious,Fog/Mist
75,KAG_000076,Kaggle_Accident_prediction,2019,November,Tuesday,Arunachal Pradesh,Truck,Unidentified,1,31-50,Unknown,Unknown/Other,Dry,Twilight,5,4,9,Minor,Fog/Mist
76,KAG_000077,Kaggle_Accident_prediction,2020,September,Wednesday,Mizoram,Truck,Unidentified,4,Over 51,Unknown,Unknown/Other,Damaged/Construction,Dark,0,0,0,Serious,Fog/Mist
77,KAG_000078,Kaggle_Accident_prediction,2021,December,Friday,Mizoram,Truck,Unidentified,2,Over 51,Unknown,Unknown/Other,Damaged/Construction,Twilight,4,0,4,Minor,Clear
78,KAG_000079,Kaggle_Accident_prediction,2023,November,Wednesday,Puducherry,Truck,Unidentified,3,18-30,Unknown,Unknown/Other,Damaged/Construction,Twilight,1,0,1,Serious,Rainy
79,KAG_000080,Kaggle_Accident_prediction,2021,September,Tuesday,Andhra Pradesh,Truck,Unidentified,3,Over 51,Unknown,Unknown/Other,Damaged/Construction,Twilight,2,6,8,Fatal,Rainy
80,KAG_000081,Kaggle_Accident_prediction,2023,November,Wednesday,Karnataka,Truck,Unidentified,3,31-50,Unknown,Unknown/Other,Damaged/Construction,Daylight,3,0,3,Serious,Fog/Mist
81,KAG_000082,Kaggle_Accident_prediction,2020,June,Wednesday,Uttar Pradesh,Truck,Unidentified,3,18-30,Unknown,Unknown/Other,Damaged/Construction,Twilight,3,7,10,Fatal,Rainy
82,KAG_000083,Kaggle_Accident_prediction,2018,May,Friday,Mizoram,Truck,Unidentified,2,Over 51,Unknown,Unknown/Other,Damaged/Construction,Twilight,4,0,4,Serious,Fog/Mist
83,KAG_000084,Kaggle_Accident_prediction,2021,August,Tuesday,Nagaland,Truck,Unidentified,2,31-50,Unknown,Unknown/Other,Dry,Dark,5,1,6,Serious,Fog/Mist
84,KAG_000085,Kaggle_Accident_prediction,2023,June,Wednesday,Puducherry,Truck,Unidentified,1,Over 51,Unknown,Unknown/Other,Wet,Twilight,1,0,1,Minor,Rainy
85,KAG_000086,Kaggle_Accident_prediction,2023,November,Wednesday,Uttar Pradesh,Truck,Unidentified,4,31-50,Unknown,Unknown/Other,Wet,Daylight,0,1,1,Serious,Clear
86,KAG_000087,Kaggle_Accident_prediction,2020,August,Friday,Chandigarh,Truck,Unidentified,1,31-50,Unknown,Unknown/Other,Dry,Dark,5,2,7,Minor,Clear
87,KAG_000088,Kaggle_Accident_prediction,2023,April,Wednesday,Madhya Pradesh,Truck,Unidentified,1,18-30,Unknown,Unknown/Other,Wet,Twilight,1,8,9,Serious,Rainy
88,KAG_000089,Kaggle_Accident_prediction,2021,July,Saturday,Puducherry,Truck,Unidentified,2,31-50,Unknown,Unknown/Other,Wet,Twilight,0,8,8,Fatal,Fog/Mist
89,KAG_000090,Kaggle_Accident_prediction,2020,February,Wednesday,Uttar Pradesh,Truck,Unidentified,3,18-30,Unknown,Unknown/Other,Damaged/Construction,Twilight,5,0,3,Fatal,Fog/Mist
90,KAG_000091,Kaggle_Accident_prediction,2019,June,Sunday,Gujarat,Truck,Unidentified,3,31-50,Unknown,Unknown/Other,Damaged/Construction,Daylight,3,7,10,Serious,Rainy
91,KAG_000092,Kaggle_Accident_prediction,2018,December,Monday,Goa,Truck,Unidentified,2,Over 51,Unknown,Unknown/Other,Damaged/Construction,Daylight,0,1,1,Minor,Fog/Mist
92,KAG_000093,Kaggle_Accident_prediction,2023,June,Sunday,Karnataka,Truck,Unidentified,2,Over 51,Unknown,Unknown/Other,Dry,Twilight,0,8,8,Minor,Rainy
93,KAG_000094,Kaggle_Accident_prediction,2022,July,Monday,Chhattisgarh,Truck,Unidentified,2,Over 51,Unknown,Unknown/Other,Wet,Daylight,2,2,4,Serious,Fog/Mist
94,KAG_000095,Kaggle_Accident_prediction,2018,November,Friday,Puducherry,Truck,Unidentified,5,31-50,Unknown,Unknown/Other,Damaged/Construction,Daylight,2,7,9,Fatal,Rainy
95,KAG_000096,Kaggle_Accident_prediction,2021,March,Tuesday,Himachal Pradesh,Truck,Unidentified,1,18-30,Unknown,Unknown/Other,Damaged/Construction,Dark,3,6,9,Minor,Rainy
96,KAG_000097,Kaggle_Accident_prediction,2019,October,Tuesday,Mizoram,Truck,Unidentified,1,Over 51,Unknown,Unknown/Other,Dry,Twilight,0,3,3,Fatal,Clear
97,KAG_000098,Kaggle_Accident_prediction,2021,March,Sunday,Punjab,Truck,Unidentified,2,Over 51,Unknown,Unknown/Other,Damaged/Construction,Twilight,0,2,2,Serious,Fog/Mist
98,KAG_000099,Kaggle_Accident_prediction,2018,February,Saturday,Jharkhand,Truck,Unidentified,1,18-30,Unknown,Unknown/Other,Wet,Twilight,0,5,5,Minor,Fog/Mist
99,KAG_000100,Kaggle_Accident_prediction,2019,May,Tuesday,Chandigarh,Truck,Unidentified,1,Over 51,Unknown,Unknown/Other,Damaged/Construction,Daylight,5,0,5,Serious,Clear
100,KAG_000101,Kaggle_Accident_prediction,2019,October,Monday,Punjab,Truck,Unidentified,4,18-30,Unknown,Unknown/Other,Damaged/Construction,Daylight,3,0,2,Minor,Rainy
101,KAG_000102,Kaggle_Accident_prediction,2018,June,Saturday,Arunachal Pradesh,Truck,Unidentified,4,18-30,Unknown,Unknown/Other,Wet,Twilight,1,8,9,Minor,Fog/Mist
102,KAG_000103,Kaggle_Accident_prediction,2021,May,Friday,Delhi,Truck,Unidentified,3,18-30,Unknown,Unknown/Other,Damaged/Construction,Twilight,2,6,8,Serious,Fog/Mist
103,KAG_000104,Kaggle_Accident_prediction,2021,December,Friday,Sikkim,Truck,Unidentified,5,31-50,Unknown,Unknown/Other,Dry,Dark,4,0,2,Minor,Rainy
104,KAG_000105,Kaggle_Accident_prediction,2022,July,Wednesday,Sikkim,Truck,Unidentified,2,18-30,Unknown,Unknown/Other,Dry,Dark,1,7,8,Serious,Clear
105,KAG_000106,Kaggle_Accident_prediction,2022,July,Friday,Puducherry,Truck,Unidentified,1,31-50,Unknown,Unknown/Other,Dry,Twilight,0,9,9,Minor,Fog/Mist
106,KAG_000107,Kaggle_Accident_prediction,2020,June,Saturday,Tamil Nadu,Truck,Unidentified,1,Over 51,Unknown,Unknown/Other,Wet,Daylight,1,2,3,Serious,Fog/Mist
107,KAG_000108,Kaggle_Accident_prediction,2021,December,Thursday,West Bengal,Truck,Unidentified,4,Over 51,Unknown,Unknown/Other,Dry,Twilight,1,4,5,Serious,Rainy
108,KAG_000109,Kaggle_Accident_prediction,2021,November,Wednesday,Meghalaya,Truck,Unidentified,3,18-30,Unknown,Unknown/Other,Dry,Dark,3,0,0,Fatal,Rainy
109,KAG_000110,Kaggle_Accident_prediction,2018,October,Wednesday,Kerala,Truck,Unidentified,2,Over 51,Unknown,Unknown/Other,Dry,Twilight,2,6,8,Serious,Fog/Mist
110,KAG_000111,Kaggle_Accident_prediction,2021,April,Monday,Tamil Nadu,Truck,Unidentified,2,31-50,Unknown,Unknown/Other,Wet,Twilight,0,7,7,Minor,Rainy
111,KAG_000112,Kaggle_Accident_prediction,2021,May,Monday,Jharkhand,Truck,Unidentified,3,Over 51,Unknown,Unknown/Other,Wet,Twilight,4,0,3,Serious,Rainy
112,KAG_000113,Kaggle_Accident_prediction,2022,January,Wednesday,Gujarat,Truck,Unidentified,4,Over 51,Unknown,Unknown/Other,Dry,Twilight,1,5,6,Serious,Rainy
113,KAG_000114,Kaggle_Accident_prediction,2018,June,Sunday,Goa,Truck,Unidentified,1,31-50,Unknown,Unknown/Other,Damaged/Construction,Twilight,1,2,3,Fatal,Rainy
114,KAG_000115,Kaggle_Accident_prediction,2023,September,Saturday,Delhi,Truck,Unidentified,3,Over 51,Unknown,Unknown/Other,Dry,Twilight,0,10,10,Minor,Rainy
115,KAG_000116,Kaggle_Accident_prediction,2023,November,Wednesday,Uttar Pradesh,Truck,Unidentified,5,Over 51,Unknown,Unknown/Other,Wet,Twilight,0,8,8,Minor,Rainy
116,KAG_000117,Kaggle_Accident_prediction,2022,March,Sunday,Maharashtra,Truck,Unidentified,2,Over 51,Unknown,Unknown/Other,Damaged/Construction,Twilight,3,7,10,Serious,Clear
117,KAG_000118,Kaggle_Accident_prediction,2020,January,Tuesday,Punjab,Truck,Unidentified,4,Over 51,Unknown,Unknown/Other,Damaged/Construction,Twilight,2,8,10,Minor,Clear
118,KAG_000119,Kaggle_Accident_prediction,2019,October,Monday,Meghalaya,Truck,Unidentified,3,18-30,Unknown,Unknown/Other,Damaged/Construction,Twilight,0,10,10,Minor,Fog/Mist
119,KAG_000120,Kaggle_Accident_prediction,2020,August,Tuesday,Jharkhand,Truck,Unidentified,3,31-50,Unknown,Unknown/Other,Damaged/Construction,Dark,2,8,10,Minor,Rainy
120,KAG_000121,Kaggle_Accident_prediction,2021,April,Wednesday,Tripura,Truck,Unidentified,3,Over 51,Unknown,Unknown/Other,Wet,Dark,5,2,7,Minor,Rainy
121,KAG_000122,Kaggle_Accident_prediction,2021,January,Friday,Arunachal Pradesh,Truck,Unidentified,3,18-30,Unknown,Unknown/Other,Dry,Dark,4,0,1,Serious,Fog/Mist
122,KAG_000123,Kaggle_Accident_prediction,2018,June,Saturday,Punjab,Truck,Unidentified,1,31-50,Unknown,Unknown/Other,Damaged/Construction,Twilight,1,7,8,Minor,Rainy
123,KAG_000124,Kaggle_Accident_prediction,2020,March,Thursday,Jammu and Kashmir,Truck,Unidentified,3,Over 51,Unknown,Unknown/Other,Damaged/Construction,Dark,2,8,10,Minor,Rainy
124,KAG_000125,Kaggle_Accident_prediction,2021,January,Thursday,Kerala,Truck,Unidentified,1,31-50,Unknown,Unknown/Other,Damaged/Construction,Daylight,4,0,1,Fatal,Clear
125,KAG_000126,Kaggle_Accident_prediction,2023,August,Tuesday,Maharashtra,Truck,Unidentified,1,18-30,Unknown,Unknown/Other,Wet,Dark,2,0,1,Minor,Clear
126,KAG_000127,Kaggle_Accident_prediction,2020,May,Friday,Rajasthan,Truck,Unidentified,5,Over 51,Unknown,Unknown/Other,Damaged/Construction,Dark,1,5,6,Fatal,Fog/Mist
127,KAG_000128,Kaggle_Accident_prediction,2020,July,Saturday,Delhi,Truck,Unidentified,3,Over 51,Unknown,Unknown/Other,Damaged/Construction,Twilight,2,0,1,Fatal,Rainy
128,KAG_000129,Kaggle_Accident_prediction,2022,November,Monday,Punjab,Truck,Unidentified,3,31-50,Unknown,Unknown/Other,Damaged/Construction,Twilight,0,3,3,Fatal,Rainy
129,KAG_000130,Kaggle_Accident_prediction,2019,July,Friday,Himachal Pradesh,Truck,Unidentified,1,31-50,Unknown,Unknown/Other,Dry,Dark,0,9,9,Minor,Rainy
130,KAG_000131,Kaggle_Accident_prediction,2019,June,Friday,Assam,Truck,Unidentified,4,18-30,Unknown,Unknown/Other,Damaged/Construction,Twilight,4,0,0,Serious,Fog/Mist
131,KAG_000132,Kaggle_Accident_prediction,2021,October,Wednesday,Gujarat,Truck,Unidentified,2,Over 51,Unknown,Unknown/Other,Damaged/Construction,Dark,3,0,2,Fatal,Rainy
132,KAG_000133,Kaggle_Accident_prediction,2020,February,Monday,Jammu and Kashmir,Truck,Unidentified,2,18-30,Unknown,Unknown/Other,Damaged/Construction,Twilight,1,8,9,Serious,Clear
133,KAG_000134,Kaggle_Accident_prediction,2019,January,Wednesday,Nagaland,Truck,Unidentified,3,18-30,Unknown,Unknown/Other,Damaged/Construction,Dark,5,0,1,Fatal,Rainy
134,KAG_000135,Kaggle_Accident_prediction,2021,December,Wednesday,Maharashtra,Truck,Unidentified,3,31-50,Unknown,Unknown/Other,Wet,Twilight,2,3,5,Fatal,Rainy
135,KAG_000136,Kaggle_Accident_prediction,2020,February,Tuesday,Madhya Pradesh,Truck,Unidentified,3,Over 51,Unknown,Unknown/Other,Wet,Dark,4,0,2,Fatal,Rainy
136,KAG_000137,Kaggle_Accident_prediction,2021,March,Sunday,Tamil Nadu,Truck,Unidentified,1,Over 51,Unknown,Unknown/Other,Wet,Daylight,2,8,10,Fatal,Rainy
137,KAG_000138,Kaggle_Accident_prediction,2020,October,Monday,Andhra Pradesh,Truck,Unidentified,3,18-30,Unknown,Unknown/Other,Wet,Daylight,5,1,6,Serious,Fog/Mist
138,KAG_000139,Kaggle_Accident_prediction,2020,January,Thursday,Telangana,Truck,Unidentified,4,31-50,Unknown,Unknown/Other,Wet,Twilight,3,0,0,Minor,Rainy
139,KAG_000140,Kaggle_Accident_prediction,2020,August,Wednesday,Meghalaya,Truck,Unidentified,5,Over 51,Unknown,Unknown/Other,Dry,Twilight,3,5,8,Minor,Rainy
140,KAG_000141,Kaggle_Accident_prediction,2019,August,Saturday,Tripura,Truck,Unidentified,5,31-50,Unknown,Unknown/Other,Damaged/Construction,Twilight,4,0,3,Serious,Rainy
141,KAG_000142,Kaggle_Accident_prediction,2020,May,Friday,Arunachal Pradesh,Truck,Unidentified,1,31-50,Unknown,Unknown/Other,Wet,Twilight,3,7,10,Serious,Rainy
