accident_id,source,year,month,day_of_week,state,vehicle_1,vehicle_2,vehicles_involved,party_age_group,victim_age_group,cause_of_accident,weather_condition,road_condition,lighting_condition,fatalities,injuries,casualties,severity
KAG_000036,Kaggle_Accident_prediction,2020,February,Saturday,Maharashtra,Truck,Unknown,4,18-30,Unknown,Unknown,Foggy,Damaged,Dusk,0,1,1,Fatal
KAG_000037,Kaggle_Accident_prediction,2023,January,Saturday,Odisha,Truck,Unknown,5,31-50,Unknown,Unknown,Clear,Dry,Daylight,0,10,10,Serious
KAG_000038,Kaggle_Accident_prediction,2021,May,Friday,Tamil Nadu,Truck,Unknown,5,18-30,Unknown,Unknown,Rainy,Under Construction,Daylight,4,1,5,Minor
KAG_000039,Kaggle_Accident_prediction,2023,February,Thursday,Manipur,Truck,Unknown,1,Over 51,Unknown,Unknown,Foggy,Under Construction,Daylight,3,3,6,Fatal
KAG_000040,Kaggle_Accident_prediction,2018,September,Friday,Assam,Truck,Unknown,3,31-50,Unknown,Unknown,Foggy,Wet,Dark,5,4,9,Serious
KAG_000041,Kaggle_Accident_prediction,2019,January,Thursday,Gujarat,Truck,Unknown,2,18-30,Unknown,Unknown,Hazy,Wet,Dark,1,3,4,Fatal
KAG_000042,Kaggle_Accident_prediction,2019,March,Thursday,Assam,Truck,Unknown,3,18-30,Unknown,Unknown,Stormy,Dry,Dark,5,0,3,Fatal
KAG_000043,Kaggle_Accident_prediction,2023,March,Saturday,Goa,Truck,Unknown,4,31-50,Unknown,Unknown,Clear,Wet,Dusk,2,4,6,Minor
KAG_000044,Kaggle_Accident_prediction,2020,September,Thursday,Karnataka,Truck,Unknown,5,Over 51,Unknown,Unknown,Foggy,Dry,Dark,3,0,0,Minor
KAG_000045,Kaggle_Accident_prediction,2019,May,Wednesday,Andhra Pradesh,Truck,Unknown,2,Over 51,Unknown,Unknown,Stormy,Damaged,Daylight,0,9,9,Fatal
KAG_000046,Kaggle_Accident_prediction,2021,March,Thursday,Punjab,Truck,Unknown,5,31-50,Unknown,Unknown,Hazy,Damaged,Daylight,3,2,5,Serious
KAG_000047,Kaggle_Accident_prediction,2021,October,Friday,Manipur,Truck,Unknown,2,Over 51,Unknown,Unknown,Clear,Wet,Dusk,2,7,9,Minor
KAG_000048,Kaggle_Accident_prediction,2020,December,Thursday,Karnataka,Truck,Unknown,4,Over 51,Unknown,Unknown,Rainy,Under Construction,Dark,3,3,6,Minor
KAG_000049,Kaggle_Accident_prediction,2023,February,Wednesday,Jammu And Kashmir,Truck,Unknown,3,Over 51,Unknown,Unknown,Stormy,Wet,Dusk,3,0,0,Serious
KAG_000050,Kaggle_Accident_prediction,2022,October,Wednesday,Jammu And Kashmir,Truck,Unknown,1,Over 51,Unknown,Unknown,Stormy,Under Construction,Dusk,5,0,1,Minor
KAG_000051,Kaggle_Accident_prediction,2021,December,Wednesday,Uttar Pradesh,Truck,Unknown,1,31-50,Unknown,Unknown,Rainy,Damaged,Dusk,4,0,3,Minor
KAG_000052,Kaggle_Accident_prediction,2019,June,Friday,Assam,Truck,Unknown,3,Over 51,Unknown,Unknown,Clear,Damaged,Dark,2,6,8,Minor
KAG_000053,Kaggle_Accident_prediction,2022,April,Friday,Uttar Pradesh,Truck,Unknown,4,18-30,Unknown,Unknown,Rainy,Under Construction,Dawn,5,3,8,Fatal
KAG_000054,Kaggle_Accident_prediction,2020,September,Monday,Goa,Truck,Unknown,2,Over 51,Unknown,Unknown,Hazy,Under Construction,Dark,1,6,7,Minor
KAG_000055,Kaggle_Accident_prediction,2023,August,Wednesday,Bihar,Truck,Unknown,3,31-50,Unknown,Unknown,Clear,Dry,Dark,3,2,5,Serious
KAG_000056,Kaggle_Accident_prediction,2022,April,Saturday,Andhra Pradesh,Truck,Unknown,2,31-50,Unknown,Unknown,Hazy,Damaged,Daylight,3,5,8,Serious
KAG_000057,Kaggle_Accident_prediction,2019,July,Tuesday,Maharashtra,Truck,Unknown,1,18-30,Unknown,Unknown,Rainy,Under Construction,Dawn,4,0,2,Serious
KAG_000058,Kaggle_Accident_prediction,2021,June,Sunday,Uttarakhand,Truck,Unknown,2,31-50,Unknown,Unknown,Hazy,Dry,Daylight,4,0,0,Serious
KAG_000059,Kaggle_Accident_prediction,2020,September,Sunday,Telangana,Truck,Unknown,1,Over 51,Unknown,Unknown,Foggy,Damaged,Daylight,0,5,5,Fatal
KAG_000060,Kaggle_Accident_prediction,2019,January,Saturday,Chandigarh,Truck,Unknown,4,31-50,Unknown,Unknown,Hazy,Damaged,Dusk,1,4,5,Minor
KAG_000061,Kaggle_Accident_prediction,2022,September,Tuesday,Andhra Pradesh,Truck,Unknown,5,Over 51,Unknown,Unknown,Hazy,Under Construction,Dusk,3,4,7,Minor
KAG_000062,Kaggle_Accident_prediction,2022,February,Monday,Uttar Pradesh,Truck,Unknown,2,18-30,Unknown,Unknown,Foggy,Wet,Dark,1,3,4,Serious
KAG_000063,Kaggle_Accident_prediction,2018,October,Sunday,Puducherry,Truck,Unknown,1,31-50,Unknown,Unknown,Rainy,Damaged,Dark,2,4,6,Fatal
KAG_000064,Kaggle_Accident_prediction,2023,June,Thursday,Sikkim,Truck,Unknown,2,31-50,Unknown,Unknown,Foggy,Dry,Daylight,5,5,10,Serious
KAG_000065,Kaggle_Accident_prediction,2022,April,Friday,Goa,Truck,Unknown,1,18-30,Unknown,Unknown,Clear,Wet,Dusk,1,9,10,Serious
KAG_000066,Kaggle_Accident_prediction,2023,March,Saturday,Nagaland,Truck,Unknown,1,31-50,Unknown,Unknown,Clear,Damaged,Daylight,2,6,8,Serious
KAG_000067,Kaggle_Accident_prediction,2018,March,Wednesday,Madhya Pradesh,Truck,Unknown,1,18-30,Unknown,Unknown,Clear,Dry,Dusk,4,0,1,Serious
KAG_000068,Kaggle_Accident_prediction,2023,November,Sunday,Mizoram,Truck,Unknown,2,31-50,Unknown,Unknown,Stormy,Dry,Dawn,3,0,2,Serious
KAG_000069,Kaggle_Accident_prediction,2023,April,Monday,Kerala,Truck,Unknown,1,31-50,Unknown,Unknown,Hazy,Dry,Dusk,3,1,4,Serious
KAG_000070,Kaggle_Accident_prediction,2022,June,Wednesday,Jharkhand,Truck,Unknown,5,31-50,Unknown,Unknown,Stormy,Dry,Daylight,5,4,9,Fatal
KAG_000071,Kaggle_Accident_prediction,2023,December,Wednesday,Karnataka,Truck,Unknown,1,Over 51,Unknown,Unknown,Rainy,Damaged,Dawn,4,0,0,Minor
KAG_000072,Kaggle_Accident_prediction,2022,August,Wednesday,Rajasthan,Truck,Unknown,4,31-50,Unknown,Unknown,Stormy,Damaged,Dusk,4,2,6,Serious
KAG_000073,Kaggle_Accident_prediction,2018,May,Wednesday,Odisha,Truck,Unknown,2,Over 51,Unknown,Unknown,Stormy,Dry,Dawn,4,5,9,Minor
KAG_000074,Kaggle_Accident_prediction,2023,June,Friday,Goa,Truck,Unknown,2,31-50,Unknown,Unknown,Stormy,Wet,Dark,5,0,2,Serious
KAG_000075,Kaggle_Accident_prediction,2020,February,Thursday,Delhi,Truck,Unknown,5,31-50,Unknown,Unknown,Foggy,Under Construction,Daylight,0,0,0,Serious
KAG_000076,Kaggle_Accident_prediction,2019,November,Tuesday,Arunachal Pradesh,Truck,Unknown,1,31-50,Unknown,Unknown,Hazy,Dry,Dawn,5,4,9,Minor
KAG_000077,Kaggle_Accident_prediction,2020,September,Wednesday,Mizoram,Truck,Unknown,4,Over 51,Unknown,Unknown,Foggy,Under Construction,Dark,0,0,0,Serious
KAG_000078,Kaggle_Accident_prediction,2021,December,Friday,Mizoram,Truck,Unknown,2,Over 51,Unknown,Unknown,Clear,Under Construction,Dusk,4,0,4,Minor
KAG_000079,Kaggle_Accident_prediction,2023,November,Wednesday,Puducherry,Truck,Unknown,3,18-30,Unknown,Unknown,Rainy,Under Construction,Dusk,1,0,1,Serious
KAG_000080,Kaggle_Accident_prediction,2021,September,Tuesday,Andhra Pradesh,Truck,Unknown,3,Over 51,Unknown,Unknown,Rainy,Under Construction,Dawn,2,6,8,Fatal
KAG_000081,Kaggle_Accident_prediction,2023,November,Wednesday,Karnataka,Truck,Unknown,3,31-50,Unknown,Unknown,Hazy,Under Construction,Daylight,3,0,3,Serious
KAG_000082,Kaggle_Accident_prediction,2020,June,Wednesday,Uttar Pradesh,Truck,Unknown,3,18-30,Unknown,Unknown,Stormy,Damaged,Dusk,3,7,10,Fatal
KAG_000083,Kaggle_Accident_prediction,2018,May,Friday,Mizoram,Truck,Unknown,2,Over 51,Unknown,Unknown,Hazy,Damaged,Dusk,4,0,4,Serious
KAG_000084,Kaggle_Accident_prediction,2021,August,Tuesday,Nagaland,Truck,Unknown,2,31-50,Unknown,Unknown,Hazy,Dry,Dark,5,1,6,Serious
KAG_000085,Kaggle_Accident_prediction,2023,June,Wednesday,Puducherry,Truck,Unknown,1,Over 51,Unknown,Unknown,Rainy,Wet,Dusk,1,0,1,Minor
KAG_000086,Kaggle_Accident_prediction,2023,November,Wednesday,Uttar Pradesh,Truck,Unknown,4,31-50,Unknown,Unknown,Clear,Wet,Daylight,0,1,1,Serious
KAG_000087,Kaggle_Accident_prediction,2020,August,Friday,Chandigarh,Truck,Unknown,1,31-50,Unknown,Unknown,Clear,Dry,Dark,5,2,7,Minor
KAG_000088,Kaggle_Accident_prediction,2023,April,Wednesday,Madhya Pradesh,Truck,Unknown,1,18-30,Unknown,Unknown,Rainy,Wet,Dusk,1,8,9,Serious
KAG_000089,Kaggle_Accident_prediction,2021,July,Saturday,Puducherry,Truck,Unknown,2,31-50,Unknown,Unknown,Foggy,Wet,Dusk,0,8,8,Fatal
KAG_000090,Kaggle_Accident_prediction,2020,February,Wednesday,Uttar Pradesh,Truck,Unknown,3,18-30,Unknown,Unknown,Foggy,Damaged,Dawn,5,0,3,Fatal
KAG_000091,Kaggle_Accident_prediction,2019,June,Sunday,Gujarat,Truck,Unknown,3,31-50,Unknown,Unknown,Rainy,Under Construction,Daylight,3,7,10,Serious
KAG_000092,Kaggle_Accident_prediction,2018,December,Monday,Goa,Truck,Unknown,2,Over 51,Unknown,Unknown,Hazy,Under Construction,Daylight,0,1,1,Minor
KAG_000093,Kaggle_Accident_prediction,2023,June,Sunday,Karnataka,Truck,Unknown,2,Over 51,Unknown,Unknown,Stormy,Dry,Dusk,0,8,8,Minor
KAG_000094,Kaggle_Accident_prediction,2022,July,Monday,Chhattisgarh,Truck,Unknown,2,Over 51,Unknown,Unknown,Hazy,Wet,Daylight,2,2,4,Serious
KAG_000095,Kaggle_Accident_prediction,2018,November,Friday,Puducherry,Truck,Unknown,5,31-50,Unknown,Unknown,Stormy,Under Construction,Daylight,2,7,9,Fatal
KAG_000096,Kaggle_Accident_prediction,2021,March,Tuesday,Himachal Pradesh,Truck,Unknown,1,18-30,Unknown,Unknown,Rainy,Damaged,Dark,3,6,9,Minor
KAG_000097,Kaggle_Accident_prediction,2019,October,Tuesday,Mizoram,Truck,Unknown,1,Over 51,Unknown,Unknown,Clear,Dry,Dusk,0,3,3,Fatal
KAG_000098,Kaggle_Accident_prediction,2021,March,Sunday,Punjab,Truck,Unknown,2,Over 51,Unknown,Unknown,Hazy,Damaged,Dusk,0,2,2,Serious
KAG_000099,Kaggle_Accident_prediction,2018,February,Saturday,Jharkhand,Truck,Unknown,1,18-30,Unknown,Unknown,Hazy,Wet,Dusk,0,5,5,Minor
KAG_000100,Kaggle_Accident_prediction,2019,May,Tuesday,Chandigarh,Truck,Unknown,1,Over 51,Unknown,Unknown,Clear,Under Construction,Daylight,5,0,5,Serious
KAG_000101,Kaggle_Accident_prediction,2019,October,Monday,Punjab,Truck,Unknown,4,18-30,Unknown,Unknown,Rainy,Damaged,Daylight,3,0,2,Minor
KAG_000102,Kaggle_Accident_prediction,2018,June,Saturday,Arunachal Pradesh,Truck,Unknown,4,18-30,Unknown,Unknown,Hazy,Wet,Dusk,1,8,9,Minor
KAG_000103,Kaggle_Accident_prediction,2021,May,Friday,Delhi,Truck,Unknown,3,18-30,Unknown,Unknown,Hazy,Under Construction,Dusk,2,6,8,Serious
KAG_000104,Kaggle_Accident_prediction,2021,December,Friday,Sikkim,Truck,Unknown,5,31-50,Unknown,Unknown,Rainy,Dry,Dark,4,0,2,Minor
KAG_000105,Kaggle_Accident_prediction,2022,July,Wednesday,Sikkim,Truck,Unknown,2,18-30,Unknown,Unknown,Clear,Dry,Dark,1,7,8,Serious
KAG_000106,Kaggle_Accident_prediction,2022,July,Friday,Puducherry,Truck,Unknown,1,31-50,Unknown,Unknown,Foggy,Dry,Dawn,0,9,9,Minor
KAG_000107,Kaggle_Accident_prediction,2020,June,Saturday,Tamil Nadu,Truck,Unknown,1,Over 51,Unknown,Unknown,Foggy,Wet,Daylight,1,2,3,Serious
KAG_000108,Kaggle_Accident_prediction,2021,December,Thursday,West Bengal,Truck,Unknown,4,Over 51,Unknown,Unknown,Stormy,Dry,Dawn,1,4,5,Serious
KAG_000109,Kaggle_Accident_prediction,2021,November,Wednesday,Meghalaya,Truck,Unknown,3,18-30,Unknown,Unknown,Rainy,Dry,Dark,3,0,0,Fatal
KAG_000110,Kaggle_Accident_prediction,2018,October,Wednesday,Kerala,Truck,Unknown,2,Over 51,Unknown,Unknown,Foggy,Dry,Dusk,2,6,8,Serious
KAG_000111,Kaggle_Accident_prediction,2021,April,Monday,Tamil Nadu,Truck,Unknown,2,31-50,Unknown,Unknown,Stormy,Wet,Dusk,0,7,7,Minor
KAG_000112,Kaggle_Accident_prediction,2021,May,Monday,Jharkhand,Truck,Unknown,3,Over 51,Unknown,Unknown,Stormy,Wet,Dawn,4,0,3,Serious
KAG_000113,Kaggle_Accident_prediction,2022,January,Wednesday,Gujarat,Truck,Unknown,4,Over 51,Unknown,Unknown,Rainy,Dry,Dawn,1,5,6,Serious
KAG_000114,Kaggle_Accident_prediction,2018,June,Sunday,Goa,Truck,Unknown,1,31-50,Unknown,Unknown,Stormy,Under Construction,Dawn,1,2,3,Fatal
KAG_000115,Kaggle_Accident_prediction,2023,September,Saturday,Delhi,Truck,Unknown,3,Over 51,Unknown,Unknown,Rainy,Dry,Dawn,0,10,10,Minor
KAG_000116,Kaggle_Accident_prediction,2023,November,Wednesday,Uttar Pradesh,Truck,Unknown,5,Over 51,Unknown,Unknown,Rainy,Wet,Dawn,0,8,8,Minor
KAG_000117,Kaggle_Accident_prediction,2022,March,Sunday,Maharashtra,Truck,Unknown,2,Over 51,Unknown,Unknown,Clear,Damaged,Dusk,3,7,10,Serious
KAG_000118,Kaggle_Accident_prediction,2020,January,Tuesday,Punjab,Truck,Unknown,4,Over 51,Unknown,Unknown,Clear,Under Construction,Dusk,2,8,10,Minor
KAG_000119,Kaggle_Accident_prediction,2019,October,Monday,Meghalaya,Truck,Unknown,3,18-30,Unknown,Unknown,Hazy,Under Construction,Dawn,0,10,10,Minor
KAG_000120,Kaggle_Accident_prediction,2020,August,Tuesday,Jharkhand,Truck,Unknown,3,31-50,Unknown,Unknown,Rainy,Damaged,Dark,2,8,10,Minor
KAG_000121,Kaggle_Accident_prediction,2021,April,Wednesday,Tripura,Truck,Unknown,3,Over 51,Unknown,Unknown,Rainy,Wet,Dark,5,2,7,Minor
KAG_000122,Kaggle_Accident_prediction,2021,January,Friday,Arunachal Pradesh,Truck,Unknown,3,18-30,Unknown,Unknown,Foggy,Dry,Dark,4,0,1,Serious
KAG_000123,Kaggle_Accident_prediction,2018,June,Saturday,Punjab,Truck,Unknown,1,31-50,Unknown,Unknown,Rainy,Under Construction,Dusk,1,7,8,Minor
KAG_000124,Kaggle_Accident_prediction,2020,March,Thursday,Jammu And Kashmir,Truck,Unknown,3,Over 51,Unknown,Unknown,Rainy,Damaged,Dark,2,8,10,Minor
KAG_000125,Kaggle_Accident_prediction,2021,January,Thursday,Kerala,Truck,Unknown,1,31-50,Unknown,Unknown,Clear,Under Construction,Daylight,4,0,1,Fatal
KAG_000126,Kaggle_Accident_prediction,2023,August,Tuesday,Maharashtra,Truck,Unknown,1,18-30,Unknown,Unknown,Clear,Wet,Dark,2,0,1,Minor
KAG_000127,Kaggle_Accident_prediction,2020,May,Friday,Rajasthan,Truck,Unknown,5,Over 51,Unknown,Unknown,Foggy,Damaged,Dark,1,5,6,Fatal
KAG_000128,Kaggle_Accident_prediction,2020,July,Saturday,Delhi,Truck,Unknown,3,Over 51,Unknown,Unknown,Rainy,Under Construction,Dawn,2,0,1,Fatal
KAG_000129,Kaggle_Accident_prediction,2022,November,Monday,Punjab,Truck,Unknown,3,31-50,Unknown,Unknown,Stormy,Under Construction,Dawn,0,3,3,Fatal
KAG_000130,Kaggle_Accident_prediction,2019,July,Friday,Himachal Pradesh,Truck,Unknown,1,31-50,Unknown,Unknown,Stormy,Dry,Dark,0,9,9,Minor
KAG_000131,Kaggle_Accident_prediction,2019,June,Friday,Assam,Truck,Unknown,4,18-30,Unknown,Unknown,Foggy,Damaged,Dusk,4,0,0,Serious
KAG_000132,Kaggle_Accident_prediction,2021,October,Wednesday,Gujarat,Truck,Unknown,2,Over 51,Unknown,Unknown,Rainy,Damaged,Dark,3,0,2,Fatal
KAG_000133,Kaggle_Accident_prediction,2020,February,Monday,Jammu And Kashmir,Truck,Unknown,2,18-30,Unknown,Unknown,Clear,Under Construction,Dusk,1,8,9,Serious
KAG_000134,Kaggle_Accident_prediction,2019,January,Wednesday,Nagaland,Truck,Unknown,3,18-30,Unknown,Unknown,Stormy,Under Construction,Dark,5,0,1,Fatal
KAG_000135,Kaggle_Accident_prediction,2021,December,Wednesday,Maharashtra,Truck,Unknown,3,31-50,Unknown,Unknown,Rainy,Wet,Dusk,2,3,5,Fatal
KAG_000136,Kaggle_Accident_prediction,2020,February,Tuesday,Madhya Pradesh,Truck,Unknown,3,Over 51,Unknown,Unknown,Rainy,Wet,Dark,4,0,2,Fatal
KAG_000137,Kaggle_Accident_prediction,2021,March,Sunday,Tamil Nadu,Truck,Unknown,1,Over 51,Unknown,Unknown,Rainy,Wet,Daylight,2,8,10,Fatal
KAG_000138,Kaggle_Accident_prediction,2020,October,Monday,Andhra Pradesh,Truck,Unknown,3,18-30,Unknown,Unknown,Hazy,Wet,Daylight,5,1,6,Serious
KAG_000139,Kaggle_Accident_prediction,2020,January,Thursday,Telangana,Truck,Unknown,4,31-50,Unknown,Unknown,Stormy,Wet,Dawn,3,0,0,Minor
KAG_000140,Kaggle_Accident_prediction,2020,August,Wednesday,Meghalaya,Truck,Unknown,5,Over 51,Unknown,Unknown,Rainy,Dry,Dawn,3,5,8,Minor
KAG_000141,Kaggle_Accident_prediction,2019,August,Saturday,Tripura,Truck,Unknown,5,31-50,Unknown,Unknown,Stormy,Damaged,Dusk,4,0,3,Serious
KAG_000142,Kaggle_Accident_prediction,2020,May,Friday,Arunachal Pradesh,Truck,Unknown,1,31-50,Unknown,Unknown,Rainy,Wet,Dawn,3,7,10,Serious
KAG_000143,Kaggle_Accident_prediction,2020,September,Monday,Kerala,Truck,Unknown,5,Over 51,Unknown,Unknown,Hazy,Damaged,Dawn,3,7,10,Minor
KAG_000144,Kaggle_Accident_prediction,2022,May,Sunday,Jharkhand,Truck,Unknown,3,Over 51,Unknown,Unknown,Rainy,Damaged,Dawn,4,0,3,Minor
KAG_000145,Kaggle_Accident_prediction,2019,March,Wednesday,Kerala,Truck,Unknown,4,Over 51,Unknown,Unknown,Rainy,Dry,Dawn,2,8,10,Fatal
KAG_000146,Kaggle_Accident_prediction,2023,November,Wednesday,Kerala,Truck,Unknown,5,18-30,Unknown,Unknown,Rainy,Under Construction,Dawn,3,4,7,Serious
KAG_000147,Kaggle_Accident_prediction,2023,August,Tuesday,Jammu And Kashmir,Truck,Unknown,5,18-30,Unknown,Unknown,Clear,Damaged,Dark,0,9,9,Minor
KAG_000148,Kaggle_Accident_prediction,2023,December,Friday,Andhra Pradesh,Truck,Unknown,2,18-30,Unknown,Unknown,Clear,Dry,Dusk,2,0,1,Fatal
KAG_000149,Kaggle_Accident_prediction,2019,July,Sunday,Uttar Pradesh,Truck,Unknown,3,18-30,Unknown,Unknown,Foggy,Under Construction,Daylight,0,10,10,Fatal
KAG_000150,Kaggle_Accident_prediction,2020,July,Thursday,Puducherry,Truck,Unknown,2,18-30,Unknown,Unknown,Foggy,Damaged,Dawn,2,4,6,Fatal
KAG_000151,Kaggle_Accident_prediction,2023,November,Tuesday,West Bengal,Truck,Unknown,4,18-30,Unknown,Unknown,Hazy,Damaged,Dawn,3,0,0,Serious
KAG_000152,Kaggle_Accident_prediction,2019,June,Thursday,Tripura,Truck,Unknown,1,Over 51,Unknown,Unknown,Rainy,Under Construction,Dawn,3,0,0,Minor
KAG_000153,Kaggle_Accident_prediction,2018,August,Friday,Karnataka,Truck,Unknown,5,18-30,Unknown,Unknown,Clear,Under Construction,Dusk,1,5,6,Fatal
KAG_000154,Kaggle_Accident_prediction,2019,September,Tuesday,Delhi,Truck,Unknown,4,Over 51,Unknown,Unknown,Stormy,Dry,Dawn,0,5,5,Minor
KAG_000155,Kaggle_Accident_prediction,2019,November,Thursday,Sikkim,Truck,Unknown,1,Over 51,Unknown,Unknown,Stormy,Dry,Dusk,5,0,2,Minor
KAG_000156,Kaggle_Accident_prediction,2021,June,Monday,Tamil Nadu,Truck,Unknown,3,Over 51,Unknown,Unknown,Rainy,Damaged,Daylight,0,1,1,Fatal
KAG_000157,Kaggle_Accident_prediction,2022,May,Saturday,Andhra Pradesh,Truck,Unknown,4,18-30,Unknown,Unknown,Foggy,Dry,Dawn,2,0,2,Serious
