month,day_of_week,state,vehicle_1,vehicle_2,vehicles_involved,party_age_group,victim_age_group,road_condition,lighting_condition,weather_group,Actual_Severity,Predicted_Severity,Risk_Score
May,Monday,Unknown,Truck,Unidentified,1,31-50,Unknown,Dry,Daylight,Clear,Severe,Minor,13.329359513791491
May,Wednesday,Unknown,Truck,Unidentified,2,Unknown,Unknown,Dry,Daylight,Clear,Minor,Minor,24.305194805194805
March,Saturday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,4.090909090909091
May,Saturday,Unknown,Truck,Unidentified,1,31-50,18-30,Dry,Dark,Clear,Minor,Minor,21.0
April,Friday,Unknown,Truck,Unidentified,2,Unknown,Unknown,Dry,Daylight,Clear,Minor,Minor,0.0
April,Thursday,Unknown,Truck,Unidentified,2,Over 51,31-50,Dry,Daylight,Clear,Severe,Minor,10.0
December,Saturday,Chhattisgarh,Bus,Truck,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,100.0
August,Thursday,Maharashtra,Two Wheeler,Truck,2,Unknown,31-50,Dry,Daylight,Clear,Severe,Severe,100.0
April,Thursday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Daylight,Clear,Minor,Severe,64.0
April,Saturday,Unknown,Truck,Unidentified,1,18-30,Under 18,Dry,Daylight,Clear,Minor,Minor,4.230769230769231
May,Friday,Unknown,Truck,Unidentified,3,Over 51,18-30,Wet,Dark,Clear,Minor,Minor,7.000000000000001
March,Wednesday,Unknown,Truck,Unidentified,3,Unknown,Unknown,Dry,Daylight,Clear,Minor,Minor,1.230679156908665
August,Tuesday,West Bengal,Bicycle,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,83.0
May,Tuesday,Unknown,Truck,Unidentified,2,31-50,31-50,Dry,Daylight,Clear,Minor,Minor,2.2030442675603963
June,Monday,Unknown,Truck,Unidentified,3,18-30,18-30,Wet,Daylight,Rainy,Minor,Minor,14.000000000000002
May,Friday,Unknown,Truck,Unidentified,2,31-50,Over 51,Dry,Dark,Clear,Minor,Minor,12.166666666666666
August,Saturday,Rajasthan,Truck,Unidentified,2,Unknown,Unknown,Wet,Dark,Clear,Severe,Severe,89.0
March,Saturday,Unknown,Truck,Unidentified,2,Unknown,31-50,Dry,Daylight,Clear,Minor,Minor,7.039189976689977
April,Monday,Unknown,Truck,Unidentified,2,31-50,Unknown,Wet,Dark,Clear,Minor,Minor,16.095238095238095
February,Thursday,Bihar,Truck,Unidentified,1,18-30,Unknown,Damaged/Construction,Twilight,Fog/Mist,Minor,Severe,82.0
December,Saturday,West Bengal,Pedestrian,Truck,2,Unknown,18-30,Dry,Daylight,Clear,Severe,Severe,100.0
April,Monday,Rajasthan,Bicycle,Truck,2,Unknown,Over 51,Dry,Dark,Clear,Severe,Severe,100.0
May,Tuesday,Unknown,Truck,Unidentified,1,Over 51,18-30,Wet,Daylight,Clear,Severe,Minor,8.321678321678322
October,Sunday,Unknown,Truck,Unidentified,2,Under 18,Unknown,Dry,Daylight,Clear,Minor,Minor,6.321678321678322
April,Thursday,Unknown,Truck,Unidentified,3,31-50,Under 18,Dry,Daylight,Clear,Minor,Minor,7.090909090909091
May,Monday,Unknown,Truck,Unidentified,1,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,14.130434782608695
October,Tuesday,West Bengal,Truck,Unidentified,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,80.0
January,Thursday,Maharashtra,Car,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,100.0
October,Friday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Daylight,Clear,Severe,Minor,3.1101190476190474
May,Wednesday,Unknown,Truck,Unidentified,3,31-50,Unknown,Wet,Dark,Clear,Severe,Minor,6.0476190476190474
May,Thursday,Unknown,Truck,Unidentified,1,Under 18,Unknown,Wet,Dark,Clear,Severe,Minor,22.321678321678323
March,Saturday,Unknown,Truck,Unidentified,2,31-50,18-30,Dry,Dark,Clear,Minor,Minor,11.0
March,Tuesday,Maharashtra,Pedestrian,Truck,2,Unknown,Under 18,Wet,Dark,Clear,Severe,Severe,100.0
May,Thursday,Unknown,Truck,Unidentified,2,Over 51,18-30,Dry,Daylight,Clear,Severe,Minor,0.0
March,Tuesday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,0.23076923076923078
January,Saturday,Unknown,Bus,Unidentified,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,95.0
March,Thursday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,0.17078620304426756
March,Wednesday,Unknown,Truck,Unidentified,2,18-30,31-50,Dry,Dark,Clear,Minor,Minor,7.401013620525815
October,Monday,Unknown,Truck,Unidentified,2,31-50,18-30,Dry,Daylight,Clear,Minor,Minor,11.396103896103895
March,Sunday,Unknown,Truck,Unidentified,2,Unknown,18-30,Dry,Daylight,Clear,Minor,Minor,6.0
March,Friday,Unknown,Truck,Unidentified,2,Unknown,Under 18,Dry,Daylight,Clear,Minor,Minor,5.064012490241998
April,Friday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Dark,Clear,Minor,Minor,9.0
April,Friday,Unknown,Truck,Unidentified,2,Unknown,18-30,Dry,Daylight,Clear,Minor,Minor,27.0
March,Friday,Jharkhand,Truck,Unidentified,3,18-30,Unknown,Wet,Daylight,Clear,Minor,Severe,66.0
March,Friday,Unknown,Truck,Unidentified,2,18-30,31-50,Dry,Dark,Clear,Severe,Minor,15.0
September,Saturday,Unknown,Truck,Unidentified,2,18-30,Unknown,Wet,Dark,Rainy,Minor,Severe,71.0
June,Sunday,Odisha,Truck,Unidentified,1,18-30,Unknown,Damaged/Construction,Twilight,Fog/Mist,Severe,Severe,67.0
August,Wednesday,Rajasthan,Truck,Van,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,70.0
April,Saturday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Dark,Clear,Minor,Minor,5.0
March,Saturday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Daylight,Clear,Minor,Minor,1.0
May,Monday,Uttar Pradesh,Car,Truck,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,100.0
May,Wednesday,Unknown,Truck,Unidentified,2,18-30,Under 18,Dry,Dark,Clear,Minor,Minor,3.0
May,Sunday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,1.0
October,Monday,Unknown,Truck,Unidentified,2,18-30,Unknown,Wet,Dark,Clear,Minor,Minor,12.0
June,Friday,Assam,Truck,Unidentified,3,Over 51,Unknown,Damaged/Construction,Dark,Clear,Minor,Severe,81.0
September,Friday,Meghalaya,Truck,Unidentified,2,31-50,Unknown,Dry,Dark,Rainy,Severe,Severe,61.0
August,Saturday,Unknown,Truck,Unidentified,2,18-30,31-50,Wet,Dark,Rainy,Minor,Minor,13.0
March,Friday,Unknown,Truck,Unidentified,1,Unknown,31-50,Dry,Daylight,Clear,Severe,Minor,13.095238095238097
May,Monday,Unknown,Truck,Unidentified,2,31-50,18-30,Dry,Daylight,Clear,Minor,Minor,5.452113104287017
October,Tuesday,Unknown,Truck,Unidentified,3,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,12.178053830227743
August,Tuesday,Madhya Pradesh,Auto Rickshaw,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,100.0
February,Wednesday,Tamil Nadu,Truck,Car,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,96.0
June,Thursday,Madhya Pradesh,Two Wheeler,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,100.0
January,Monday,Rajasthan,Two Wheeler,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,100.0
April,Wednesday,Unknown,Truck,Unidentified,1,31-50,Over 51,Dry,Daylight,Clear,Minor,Minor,42.0
October,Thursday,Maharashtra,Truck,Canal,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,97.0
July,Wednesday,Unknown,Truck,Unidentified,2,31-50,Unknown,Wet,Daylight,Rainy,Minor,Minor,1.0
October,Tuesday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Dark,Clear,Minor,Minor,25.09090909090909
November,Saturday,Rajasthan,Suv,Truck,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,100.0
April,Tuesday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,7.000000000000001
January,Saturday,Uttar Pradesh,Two Wheeler,Truck,2,Unknown,18-30,Dry,Daylight,Clear,Severe,Severe,99.0
October,Wednesday,Unknown,Truck,Unidentified,6,Over 51,Unknown,Dry,Dark,Clear,Minor,Minor,43.04761904761905
April,Wednesday,Unknown,Truck,Unidentified,2,Unknown,Unknown,Dry,Dark,Clear,Minor,Minor,21.305194805194805
July,Wednesday,Unknown,Truck,Unidentified,3,31-50,Over 51,Wet,Daylight,Rainy,Minor,Minor,40.230769230769226
June,Tuesday,Haryana,Truck,Unidentified,5,18-30,Unknown,Damaged/Construction,Twilight,Fog/Mist,Severe,Minor,37.0
February,Monday,Jammu and Kashmir,Truck,Unidentified,2,18-30,Unknown,Damaged/Construction,Twilight,Clear,Severe,Severe,66.0
August,Saturday,Unknown,Truck,Unidentified,2,Over 51,18-30,Wet,Daylight,Rainy,Minor,Minor,7.000000000000001
September,Monday,Unknown,Truck,Unidentified,2,31-50,18-30,Wet,Daylight,Rainy,Minor,Minor,3.0
June,Friday,Unknown,Truck,Unidentified,1,Under 18,31-50,Wet,Daylight,Rainy,Minor,Minor,14.000000000000002
August,Monday,Unknown,Truck,Unidentified,2,31-50,Under 18,Wet,Daylight,Rainy,Minor,Minor,3.0
July,Tuesday,Unknown,Truck,Unidentified,2,Over 51,18-30,Wet,Daylight,Rainy,Severe,Minor,2.0
May,Wednesday,Unknown,Bus,Unidentified,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,98.0
October,Tuesday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,17.670786203044266
December,Monday,Maharashtra,Pedestrian,Truck,2,Unknown,Under 18,Dry,Daylight,Clear,Severe,Severe,100.0
March,Friday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Dark,Clear,Minor,Minor,1.0
October,Thursday,Unknown,Truck,Unidentified,3,Under 18,Unknown,Dry,Daylight,Clear,Minor,Minor,18.748857135035998
August,Sunday,Unknown,Truck,Unidentified,2,Unknown,Over 51,Dry,Dark,Rainy,Minor,Minor,11.0
May,Saturday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Dark,Clear,Severe,Minor,1.0
April,Monday,Unknown,Truck,Car,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,96.0
December,Wednesday,Maharashtra,Truck,Unidentified,3,31-50,Unknown,Wet,Twilight,Rainy,Severe,Severe,59.0
September,Friday,Maharashtra,Bus,Truck,2,Unknown,31-50,Wet,Daylight,Clear,Severe,Severe,99.0
March,Wednesday,Unknown,Truck,Unidentified,2,31-50,31-50,Wet,Dark,Clear,Severe,Minor,14.138528138528136
December,Sunday,Madhya Pradesh,Pedestrian,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,100.0
February,Monday,Unknown,Bus,Unidentified,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,99.0
May,Sunday,Unknown,Truck,Unidentified,2,18-30,Unknown,Wet,Daylight,Clear,Minor,Minor,12.0
September,Wednesday,Haryana,Truck,Unidentified,2,Over 51,Unknown,Dry,Twilight,Rainy,Severe,Minor,50.0
March,Wednesday,Unknown,Truck,Unidentified,2,31-50,31-50,Dry,Daylight,Clear,Minor,Minor,14.595005247756673
October,Tuesday,Uttar Pradesh,Pedestrian,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,100.0
May,Monday,Unknown,Truck,Unidentified,2,Over 51,Under 18,Dry,Daylight,Clear,Minor,Minor,26.25757575757576
May,Saturday,Unknown,Truck,Unidentified,1,Under 18,18-30,Wet,Dark,Clear,Minor,Minor,27.166666666666668
November,Saturday,Maharashtra,Two Wheeler,Truck,2,Unknown,Over 51,Dry,Daylight,Clear,Severe,Severe,100.0
July,Wednesday,Maharashtra,Bus,Unidentified,2,Unknown,Under 18,Dry,Daylight,Clear,Severe,Severe,83.0
June,Monday,Unknown,Truck,Unidentified,2,18-30,31-50,Wet,Dark,Rainy,Minor,Minor,2.0
April,Saturday,Gujarat,Two Wheeler,Truck,2,Unknown,Under 18,Wet,Daylight,Clear,Severe,Severe,100.0
October,Thursday,Rajasthan,Truck,Car,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,97.0
April,Wednesday,Unknown,Truck,Unidentified,2,31-50,18-30,Dry,Daylight,Clear,Minor,Minor,1.291111467275509
January,Monday,Maharashtra,Car,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,100.0
September,Thursday,Bihar,Pedestrian,Truck,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,100.0
April,Tuesday,Unknown,Truck,Unidentified,1,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,10.047619047619047
April,Tuesday,Unknown,Truck,Unidentified,1,Over 51,Unknown,Dry,Dark,Clear,Minor,Minor,48.0
April,Tuesday,Unknown,Truck,Unidentified,2,18-30,Unknown,Wet,Dark,Clear,Minor,Minor,10.050493919357873
August,Tuesday,Unknown,Truck,Unidentified,2,18-30,Unknown,Wet,Dark,Rainy,Minor,Minor,9.0
October,Friday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,3.1101190476190474
October,Thursday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Daylight,Clear,Minor,Minor,13.20172011492344
May,Sunday,Unknown,Truck,Unidentified,4,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,26.0
October,Saturday,Maharashtra,Bus,Truck,2,Unknown,Unknown,Wet,Dark,Clear,Severe,Severe,100.0
April,Monday,Unknown,Truck,Unidentified,2,31-50,31-50,Dry,Daylight,Clear,Minor,Minor,1.0
September,Monday,Unknown,Truck,Unidentified,2,31-50,Under 18,Wet,Dark,Rainy,Minor,Minor,2.0
April,Sunday,Unknown,Truck,Unidentified,2,18-30,31-50,Dry,Dark,Clear,Minor,Minor,11.0
August,Thursday,Unknown,Truck,Unidentified,2,Under 18,31-50,Wet,Daylight,Rainy,Severe,Minor,13.0
April,Saturday,Unknown,Truck,Unidentified,2,31-50,Under 18,Wet,Dark,Clear,Minor,Minor,24.0
August,Friday,Telangana,Suv,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,100.0
March,Thursday,Unknown,Truck,Unidentified,2,18-30,Over 51,Dry,Daylight,Clear,Minor,Minor,1.0
May,Tuesday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,0.0
April,Monday,Unknown,Truck,Unidentified,4,18-30,31-50,Dry,Daylight,Clear,Minor,Minor,3.2689629211368336
October,Monday,Punjab,Two Wheeler,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,99.0
September,Friday,Karnataka,Two Wheeler,Truck,2,Unknown,18-30,Wet,Daylight,Clear,Severe,Severe,100.0
October,Friday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Dark,Clear,Severe,Minor,12.593073593073594
April,Tuesday,Unknown,Truck,Unidentified,2,Over 51,18-30,Dry,Daylight,Clear,Minor,Minor,6.424242424242426
April,Wednesday,Unknown,Truck,Unidentified,1,Unknown,18-30,Dry,Daylight,Clear,Minor,Minor,18.0
April,Monday,Uttar Pradesh,Two Wheeler,Truck,2,Unknown,18-30,Dry,Daylight,Clear,Severe,Severe,100.0
October,Friday,Unknown,Truck,Unidentified,3,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,5.159903078340005
May,Monday,Unknown,Truck,Unidentified,2,18-30,31-50,Dry,Dark,Clear,Severe,Minor,0.09090909090909091
April,Saturday,Unknown,Truck,Unidentified,2,Over 51,31-50,Dry,Daylight,Clear,Severe,Minor,12.23076923076923
October,Monday,Unknown,Truck,Unidentified,2,Under 18,Over 51,Dry,Daylight,Clear,Minor,Minor,0.0
May,Friday,Unknown,Truck,Unidentified,3,18-30,31-50,Dry,Daylight,Clear,Minor,Minor,8.646083083583083
July,Monday,Chhattisgarh,Truck,Unidentified,2,Over 51,Unknown,Wet,Daylight,Fog/Mist,Severe,Severe,67.0
April,Tuesday,Unknown,Truck,Unidentified,3,18-30,Unknown,Dry,Dark,Clear,Minor,Minor,21.0
April,Monday,Unknown,Truck,Unidentified,2,Under 18,Unknown,Dry,Daylight,Clear,Severe,Minor,5.0
June,Wednesday,Uttarakhand,Two Wheeler,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,100.0
April,Friday,Unknown,Truck,Unidentified,2,Over 51,18-30,Wet,Dark,Clear,Minor,Minor,7.000000000000001
April,Wednesday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,0.047619047619047616
February,Tuesday,Unknown,Truck,Car,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,89.0
May,Thursday,Unknown,Truck,Unidentified,2,18-30,Under 18,Dry,Dark,Clear,Minor,Minor,6.0
January,Monday,Kerala,Truck,Two_Wheeler,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,77.0
April,Wednesday,Unknown,Truck,Unidentified,3,18-30,Unknown,Dry,Dark,Clear,Severe,Minor,22.0
May,Sunday,Unknown,Truck,Unidentified,2,Over 51,Unknown,Dry,Daylight,Clear,Minor,Minor,12.655011655011657
March,Wednesday,Uttar Pradesh,Car,Truck,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,100.0
July,Thursday,Jharkhand,Truck,Unidentified,4,Over 51,Unknown,Damaged/Construction,Twilight,Fog/Mist,Severe,Severe,59.0
September,Sunday,Nagaland,Truck,Unidentified,2,Over 51,Unknown,Dry,Dark,Rainy,Severe,Severe,74.0
October,Tuesday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,18.0
September,Saturday,Maharashtra,Truck,Truck,2,Unknown,31-50,Wet,Dark,Clear,Severe,Severe,99.0
October,Wednesday,Kerala,Truck,Unidentified,2,Over 51,Unknown,Dry,Twilight,Fog/Mist,Severe,Severe,60.0
March,Thursday,Maharashtra,Truck,Unidentified,1,18-30,Unknown,Dry,Dark,Fog/Mist,Severe,Severe,72.0
February,Friday,West Bengal,Two Wheeler,Truck,2,Unknown,Under 18,Dry,Daylight,Clear,Severe,Severe,99.0
January,Tuesday,Nagaland,Truck,Unidentified,4,31-50,Unknown,Dry,Daylight,Fog/Mist,Severe,Severe,62.0
April,Monday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Daylight,Clear,Severe,Minor,33.03575456801263
October,Saturday,Unknown,Truck,Unidentified,2,Unknown,18-30,Dry,Dark,Clear,Severe,Minor,9.0
October,Thursday,Unknown,Truck,Unidentified,6,18-30,31-50,Dry,Daylight,Clear,Minor,Minor,35.452113104287015
April,Wednesday,Unknown,Truck,Unidentified,2,31-50,Under 18,Wet,Dark,Clear,Minor,Minor,19.0
January,Tuesday,Tamil Nadu,Car,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,99.0
April,Sunday,Maharashtra,Pedestrian,Truck,2,Unknown,18-30,Dry,Daylight,Clear,Severe,Severe,100.0
November,Thursday,Rajasthan,Two Wheeler,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,100.0
April,Thursday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Dark,Clear,Minor,Minor,7.000000000000001
April,Sunday,Unknown,Truck,Unidentified,1,31-50,Under 18,Dry,Daylight,Clear,Minor,Minor,24.0
April,Wednesday,Tripura,Truck,Unidentified,3,Over 51,Unknown,Wet,Dark,Rainy,Minor,Severe,72.0
September,Friday,Unknown,Truck,Unidentified,2,31-50,Under 18,Wet,Daylight,Rainy,Severe,Minor,7.000000000000001
May,Saturday,Telangana,Pedestrian,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,100.0
